measure,location,sample_date,unit,value,id
Ammonium,Achara,3/15/2012,mg/l,0.912,68
Ammonium,Achara,3/17/2012,mg/l,0.322,69
Ammonium,Achara,4/21/2012,mg/l,0,70
Ammonium,Achara,4/29/2012,mg/l,0,71
Ammonium,Achara,5/19/2012,mg/l,0,72
Ammonium,Achara,5/27/2012,mg/l,0.15,73
Ammonium,Achara,6/16/2012,mg/l,0.288,74
Ammonium,Achara,6/28/2012,mg/l,0.065,75
Ammonium,Achara,7/8/2012,mg/l,0.066,76
Ammonium,Achara,7/21/2012,mg/l,0.035,77
Ammonium,Achara,8/16/2012,mg/l,0,78
Ammonium,Achara,8/26/2012,mg/l,0,79
Ammonium,Achara,9/21/2012,mg/l,0,80
Ammonium,Achara,9/27/2012,mg/l,0.08,81
Ammonium,Achara,10/18/2012,mg/l,0.035,82
Ammonium,Achara,10/21/2012,mg/l,0.34,83
Ammonium,Achara,11/16/2012,mg/l,0.106,84
Ammonium,Achara,11/22/2012,mg/l,0.09,85
Ammonium,Achara,12/7/2012,mg/l,0.107,86
Ammonium,Achara,12/10/2012,mg/l,0.153,87
Ammonium,Achara,1/17/2013,mg/l,0.114,88
Ammonium,Achara,2/15/2013,mg/l,0,89
Ammonium,Achara,3/14/2013,mg/l,0.037,90
Ammonium,Achara,4/12/2013,mg/l,0.036,91
Ammonium,Achara,5/16/2013,mg/l,0.045,92
Ammonium,Achara,6/14/2013,mg/l,0.073,93
Ammonium,Achara,7/18/2013,mg/l,0.04,94
Ammonium,Achara,8/16/2013,mg/l,0.033,95
Ammonium,Achara,9/21/2013,mg/l,0.067,96
Ammonium,Achara,10/18/2013,mg/l,0,97
Ammonium,Achara,11/15/2013,mg/l,0.041,98
Ammonium,Achara,12/13/2013,mg/l,0.421,99
Ammonium,Achara,1/16/2014,mg/l,0.43,100
Ammonium,Achara,2/15/2014,mg/l,0.216,101
Ammonium,Achara,3/19/2014,mg/l,0,102
Ammonium,Achara,4/18/2014,mg/l,0.215,103
Ammonium,Achara,5/16/2014,mg/l,0.051,104
Ammonium,Achara,6/20/2014,mg/l,0.087,105
Ammonium,Achara,7/18/2014,mg/l,0.037,106
Ammonium,Achara,8/16/2014,mg/l,0,107
Ammonium,Achara,9/19/2014,mg/l,0.026,108
Ammonium,Achara,10/17/2014,mg/l,0.062,109
Ammonium,Achara,11/21/2014,mg/l,0.15,110
Ammonium,Achara,12/12/2014,mg/l,0.216,111
Ammonium,Achara,1/17/2015,mg/l,0.316,112
Ammonium,Achara,2/21/2015,mg/l,0,113
Ammonium,Achara,3/13/2015,mg/l,0.049,114
Ammonium,Achara,4/18/2015,mg/l,0.055,115
Ammonium,Achara,5/15/2015,mg/l,0.21,116
Ammonium,Achara,6/20/2015,mg/l,0.35,117
Ammonium,Achara,7/16/2015,mg/l,0.063,118
Ammonium,Achara,8/22/2015,mg/l,0.108,119
Ammonium,Achara,9/18/2015,mg/l,0.065,120
Ammonium,Achara,10/16/2015,mg/l,0.073,121
Ammonium,Achara,11/20/2015,mg/l,0.11,122
Ammonium,Achara,12/9/2015,mg/l,0.18,123
Ammonium,Achara,1/15/2016,mg/l,0.13,124
Ammonium,Achara,2/12/2016,mg/l,0.06,125
Ammonium,Achara,3/12/2016,mg/l,0.04,126
Ammonium,Achara,4/16/2016,mg/l,0.14,127
Ammonium,Achara,5/13/2016,mg/l,0.16,128
Ammonium,Achara,6/11/2016,mg/l,0.05,129
Ammonium,Achara,7/16/2016,mg/l,0.04,130
Ammonium,Achara,8/20/2016,mg/l,0.056,131
Ammonium,Achara,9/16/2016,mg/l,0.078,132
Ammonium,Achara,10/22/2016,mg/l,0.089,133
Ammonium,Achara,11/19/2016,mg/l,0.11,134
Ammonium,Achara,12/10/2016,mg/l,0.11,135
Anionic active surfactants,Achara,1/15/2009,mg/l,0.034,136
Anionic active surfactants,Achara,2/13/2009,mg/l,0.034,137
Anionic active surfactants,Achara,3/19/2009,mg/l,0.034,138
Anionic active surfactants,Achara,4/17/2009,mg/l,0.034,139
Anionic active surfactants,Achara,6/12/2009,mg/l,0.034,140
Anionic active surfactants,Achara,7/11/2009,mg/l,0.034,141
Anionic active surfactants,Achara,10/11/2009,mg/l,0.034,142
Anionic active surfactants,Achara,11/19/2009,mg/l,0.034,143
Anionic active surfactants,Achara,2/12/2016,mg/l,0,144
Anionic active surfactants,Achara,4/16/2016,mg/l,0,145
Anionic active surfactants,Achara,6/11/2016,mg/l,0,146
Anionic active surfactants,Achara,8/20/2016,mg/l,0,147
Anionic active surfactants,Achara,10/22/2016,mg/l,0,148
Anionic active surfactants,Achara,12/10/2016,mg/l,0,149
Arsenic,Achara,1/15/2009,µg/l,0.5,150
Arsenic,Achara,2/13/2009,µg/l,0.5,151
Arsenic,Achara,3/19/2009,µg/l,0.5,152
Arsenic,Achara,4/17/2009,µg/l,1.7,153
Arsenic,Achara,6/12/2009,µg/l,0.5,154
Arsenic,Achara,7/11/2009,µg/l,1.4,155
Arsenic,Achara,10/11/2009,µg/l,1,156
Arsenic,Achara,11/19/2009,µg/l,0.5,157
Arsenic,Achara,1/16/2010,µg/l,0.5,158
Arsenic,Achara,2/20/2010,µg/l,0.5,159
Arsenic,Achara,3/19/2010,µg/l,0.5,160
Arsenic,Achara,4/16/2010,µg/l,0.5,161
Arsenic,Achara,5/20/2010,µg/l,1.3,162
Arsenic,Achara,6/17/2010,µg/l,0.8,163
Arsenic,Achara,7/16/2010,µg/l,1.7,164
Arsenic,Achara,8/12/2010,µg/l,1.8,165
Arsenic,Achara,9/17/2010,µg/l,1,166
Arsenic,Achara,10/22/2010,µg/l,1.5,167
Arsenic,Achara,11/19/2010,µg/l,1.5,168
Arsenic,Achara,12/11/2010,µg/l,0.5,169
Arsenic,Achara,1/21/2011,µg/l,1,170
Arsenic,Achara,2/11/2011,µg/l,1,171
Arsenic,Achara,2/18/2011,µg/l,1,172
Arsenic,Achara,3/18/2011,µg/l,1,173
Arsenic,Achara,3/31/2011,µg/l,1,174
Arsenic,Achara,4/16/2011,µg/l,1,175
Arsenic,Achara,5/13/2011,µg/l,0,176
Arsenic,Achara,5/27/2011,µg/l,1.3,177
Arsenic,Achara,6/11/2011,µg/l,1.3,178
Arsenic,Achara,6/17/2011,µg/l,1.2,179
Arsenic,Achara,7/14/2011,µg/l,1.2,180
Arsenic,Achara,8/11/2011,µg/l,2.4,181
Arsenic,Achara,9/14/2011,µg/l,1.2,182
Arsenic,Achara,9/28/2011,µg/l,1.7,183
Arsenic,Achara,10/8/2011,µg/l,2.2,184
Arsenic,Achara,10/13/2011,µg/l,1.8,185
Arsenic,Achara,11/11/2011,µg/l,0,186
Arsenic,Achara,12/10/2011,µg/l,1.4,187
Arsenic,Achara,1/20/2012,µg/l,0,188
Arsenic,Achara,2/17/2012,µg/l,0,189
Arsenic,Achara,3/17/2012,µg/l,0,190
Arsenic,Achara,4/21/2012,µg/l,0,191
Arsenic,Achara,5/19/2012,µg/l,0,192
Arsenic,Achara,6/16/2012,µg/l,0,193
Arsenic,Achara,7/21/2012,µg/l,0,194
Arsenic,Achara,8/16/2012,µg/l,1.6,195
Arsenic,Achara,9/21/2012,µg/l,1.3,196
Arsenic,Achara,10/21/2012,µg/l,0,197
Arsenic,Achara,11/16/2012,µg/l,1.4,198
Arsenic,Achara,12/10/2012,µg/l,0,199
Arsenic,Achara,1/17/2013,µg/l,0,200
Arsenic,Achara,2/15/2013,µg/l,0,201
Arsenic,Achara,3/14/2013,µg/l,0,202
Arsenic,Achara,4/12/2013,µg/l,0,203
Arsenic,Achara,5/16/2013,µg/l,0,204
Arsenic,Achara,6/14/2013,µg/l,0,205
Arsenic,Achara,7/18/2013,µg/l,1,206
Arsenic,Achara,8/16/2013,µg/l,2.1,207
Arsenic,Achara,9/21/2013,µg/l,1.1,208
Arsenic,Achara,10/18/2013,µg/l,0,209
Arsenic,Achara,11/15/2013,µg/l,0,210
Arsenic,Achara,12/13/2013,µg/l,0,211
Atrazine,Achara,1/17/2013,µg/l,0,212
Atrazine,Achara,2/15/2013,µg/l,0,213
Atrazine,Achara,3/14/2013,µg/l,0,214
Atrazine,Achara,4/12/2013,µg/l,0,215
Atrazine,Achara,5/16/2013,µg/l,0,216
Atrazine,Achara,6/14/2013,µg/l,0,217
Atrazine,Achara,7/18/2013,µg/l,0,218
Atrazine,Achara,8/16/2013,µg/l,0,219
Atrazine,Achara,9/21/2013,µg/l,0,220
Atrazine,Achara,1/16/2014,µg/l,0,221
Atrazine,Achara,2/15/2014,µg/l,0,222
Atrazine,Achara,3/19/2014,µg/l,0,223
Atrazine,Achara,4/18/2014,µg/l,0.213,224
Atrazine,Achara,5/16/2014,µg/l,0,225
Atrazine,Achara,6/20/2014,µg/l,0,226
Atrazine,Achara,7/18/2014,µg/l,0,227
Atrazine,Achara,8/16/2014,µg/l,0,228
Atrazine,Achara,9/19/2014,µg/l,0,229
Atrazine,Achara,10/17/2014,µg/l,0,230
Atrazine,Achara,11/21/2014,µg/l,0,231
Atrazine,Achara,12/12/2014,µg/l,0,232
Atrazine,Achara,1/17/2015,µg/l,0,233
Atrazine,Achara,2/21/2015,µg/l,0,234
Atrazine,Achara,3/13/2015,µg/l,0,235
Atrazine,Achara,4/18/2015,µg/l,0,236
Atrazine,Achara,5/15/2015,µg/l,0,237
Atrazine,Achara,6/20/2015,µg/l,0,238
Atrazine,Achara,7/16/2015,µg/l,0,239
Atrazine,Achara,8/22/2015,µg/l,0,240
Atrazine,Achara,9/18/2015,µg/l,0,241
Atrazine,Achara,10/16/2015,µg/l,0,242
Atrazine,Achara,11/20/2015,µg/l,0,243
Atrazine,Achara,12/9/2015,µg/l,0,244
Atrazine,Achara,1/15/2016,µg/l,0,245
Atrazine,Achara,2/12/2016,µg/l,0,246
Atrazine,Achara,3/12/2016,µg/l,0,247
Atrazine,Achara,4/16/2016,µg/l,0,248
Atrazine,Achara,5/13/2016,µg/l,0,249
Atrazine,Achara,6/11/2016,µg/l,0,250
Atrazine,Achara,7/16/2016,µg/l,0,251
Atrazine,Achara,8/20/2016,µg/l,0,252
Atrazine,Achara,9/16/2016,µg/l,0,253
Atrazine,Achara,10/22/2016,µg/l,0,254
Atrazine,Achara,11/19/2016,µg/l,0,255
Atrazine,Achara,12/10/2016,µg/l,0,256
Bicarbonates,Achara,1/15/2009,mg/l,134.2,257
Bicarbonates,Achara,2/13/2009,mg/l,91.5,258
Bicarbonates,Achara,3/19/2009,mg/l,97.6,259
Bicarbonates,Achara,4/17/2009,mg/l,109.8,260
Bicarbonates,Achara,5/17/2009,mg/l,122,261
Bicarbonates,Achara,6/12/2009,mg/l,122,262
Bicarbonates,Achara,7/11/2009,mg/l,109.8,263
Bicarbonates,Achara,8/13/2009,mg/l,115.9,264
Bicarbonates,Achara,9/10/2009,mg/l,115.9,265
Bicarbonates,Achara,10/11/2009,mg/l,97.6,266
Bicarbonates,Achara,11/19/2009,mg/l,109.8,267
Bicarbonates,Achara,12/10/2009,mg/l,122,268
Bicarbonates,Achara,1/16/2014,mg/l,170.8,269
Bicarbonates,Achara,4/18/2014,mg/l,134.2,270
Bicarbonates,Achara,6/20/2014,mg/l,85.4,271
Bicarbonates,Achara,8/16/2014,mg/l,128.1,272
Bicarbonates,Achara,10/17/2014,mg/l,134.2,273
Bicarbonates,Achara,12/12/2014,mg/l,146.4,274
Bicarbonates,Achara,2/21/2015,mg/l,115.9,275
Bicarbonates,Achara,4/18/2015,mg/l,109.8,276
Bicarbonates,Achara,6/20/2015,mg/l,109.8,277
Bicarbonates,Achara,8/22/2015,mg/l,128.1,278
Bicarbonates,Achara,10/16/2015,mg/l,140.3,279
Bicarbonates,Achara,2/12/2016,mg/l,122,280
Bicarbonates,Achara,4/16/2016,mg/l,109.8,281
Bicarbonates,Achara,6/11/2016,mg/l,115.9,282
Bicarbonates,Achara,8/20/2016,mg/l,97.6,283
Bicarbonates,Achara,10/22/2016,mg/l,109.8,284
Bicarbonates,Achara,12/10/2016,mg/l,105.6,285
Biochemical Oxygen,Achara,1/15/2009,mg/l,2.3,286
Biochemical Oxygen,Achara,2/13/2009,mg/l,3,287
Biochemical Oxygen,Achara,3/19/2009,mg/l,1.7,288
Biochemical Oxygen,Achara,4/17/2009,mg/l,2,289
Biochemical Oxygen,Achara,5/17/2009,mg/l,2.4,290
Biochemical Oxygen,Achara,6/12/2009,mg/l,2.2,291
Biochemical Oxygen,Achara,7/11/2009,mg/l,2.4,292
Biochemical Oxygen,Achara,8/13/2009,mg/l,2.3,293
Biochemical Oxygen,Achara,9/10/2009,mg/l,2.1,294
Biochemical Oxygen,Achara,10/11/2009,mg/l,1.2,295
Biochemical Oxygen,Achara,11/19/2009,mg/l,2.7,296
Biochemical Oxygen,Achara,12/10/2009,mg/l,2.7,297
Biochemical Oxygen,Achara,1/16/2010,mg/l,2,298
Biochemical Oxygen,Achara,2/20/2010,mg/l,1,299
Biochemical Oxygen,Achara,3/19/2010,mg/l,2.1,300
Biochemical Oxygen,Achara,4/16/2010,mg/l,1.8,301
Biochemical Oxygen,Achara,5/20/2010,mg/l,2.4,302
Biochemical Oxygen,Achara,6/17/2010,mg/l,2.9,303
Biochemical Oxygen,Achara,7/16/2010,mg/l,2,304
Biochemical Oxygen,Achara,8/12/2010,mg/l,2.3,305
Biochemical Oxygen,Achara,9/17/2010,mg/l,2,306
Biochemical Oxygen,Achara,10/22/2010,mg/l,2.8,307
Biochemical Oxygen,Achara,11/19/2010,mg/l,1.9,308
Biochemical Oxygen,Achara,12/11/2010,mg/l,2.7,309
Biochemical Oxygen,Achara,1/21/2011,mg/l,3.6,310
Biochemical Oxygen,Achara,1/22/2011,mg/l,2.7,311
Biochemical Oxygen,Achara,2/11/2011,mg/l,2.4,312
Biochemical Oxygen,Achara,2/18/2011,mg/l,4.9,313
Biochemical Oxygen,Achara,3/18/2011,mg/l,3.4,314
Biochemical Oxygen,Achara,3/31/2011,mg/l,3,315
Biochemical Oxygen,Achara,4/16/2011,mg/l,5.8,316
Biochemical Oxygen,Achara,4/22/2011,mg/l,1.9,317
Biochemical Oxygen,Achara,5/13/2011,mg/l,4.2,318
Biochemical Oxygen,Achara,5/27/2011,mg/l,4.4,319
Biochemical Oxygen,Achara,6/11/2011,mg/l,4.3,320
Biochemical Oxygen,Achara,6/17/2011,mg/l,5.5,321
Biochemical Oxygen,Achara,7/9/2011,mg/l,1.6,322
Biochemical Oxygen,Achara,7/14/2011,mg/l,4.2,323
Biochemical Oxygen,Achara,8/4/2011,mg/l,4.4,324
Biochemical Oxygen,Achara,8/11/2011,mg/l,3.5,325
Biochemical Oxygen,Achara,9/14/2011,mg/l,2,326
Biochemical Oxygen,Achara,9/28/2011,mg/l,1.7,327
Biochemical Oxygen,Achara,10/8/2011,mg/l,5.9,328
Biochemical Oxygen,Achara,10/13/2011,mg/l,1.7,329
Biochemical Oxygen,Achara,11/11/2011,mg/l,3,330
Biochemical Oxygen,Achara,11/26/2011,mg/l,1.4,331
Biochemical Oxygen,Achara,12/15/2011,mg/l,2.2,332
Biochemical Oxygen,Achara,1/20/2012,mg/l,1.6,333
Biochemical Oxygen,Achara,1/21/2012,mg/l,1.5,334
Biochemical Oxygen,Achara,2/10/2012,mg/l,2.4,335
Biochemical Oxygen,Achara,2/17/2012,mg/l,3.4,336
Biochemical Oxygen,Achara,3/15/2012,mg/l,3.6,337
Biochemical Oxygen,Achara,3/17/2012,mg/l,2.1,338
Biochemical Oxygen,Achara,4/21/2012,mg/l,3.4,339
Biochemical Oxygen,Achara,4/29/2012,mg/l,1.9,340
Biochemical Oxygen,Achara,5/19/2012,mg/l,1.8,341
Biochemical Oxygen,Achara,5/27/2012,mg/l,1.9,342
Biochemical Oxygen,Achara,6/16/2012,mg/l,3.4,343
Biochemical Oxygen,Achara,6/28/2012,mg/l,1.4,344
Biochemical Oxygen,Achara,7/8/2012,mg/l,1.8,345
Biochemical Oxygen,Achara,8/26/2012,mg/l,1.5,346
Biochemical Oxygen,Achara,9/21/2012,mg/l,2,347
Biochemical Oxygen,Achara,9/27/2012,mg/l,1.4,348
Biochemical Oxygen,Achara,10/18/2012,mg/l,1.7,349
Biochemical Oxygen,Achara,10/21/2012,mg/l,2.6,350
Biochemical Oxygen,Achara,11/16/2012,mg/l,2.1,351
Biochemical Oxygen,Achara,11/22/2012,mg/l,2.7,352
Biochemical Oxygen,Achara,12/7/2012,mg/l,2,353
Biochemical Oxygen,Achara,12/10/2012,mg/l,2.6,354
Biochemical Oxygen,Achara,1/17/2013,mg/l,3.3,355
Biochemical Oxygen,Achara,2/15/2013,mg/l,2.2,356
Biochemical Oxygen,Achara,3/14/2013,mg/l,2.4,357
Biochemical Oxygen,Achara,4/12/2013,mg/l,2.1,358
Biochemical Oxygen,Achara,5/16/2013,mg/l,2.3,359
Biochemical Oxygen,Achara,6/14/2013,mg/l,1,360
Biochemical Oxygen,Achara,7/18/2013,mg/l,2.6,361
Biochemical Oxygen,Achara,8/16/2013,mg/l,1.7,362
Biochemical Oxygen,Achara,9/21/2013,mg/l,2.1,363
Biochemical Oxygen,Achara,10/18/2013,mg/l,1,364
Biochemical Oxygen,Achara,11/15/2013,mg/l,2,365
Biochemical Oxygen,Achara,12/13/2013,mg/l,1.9,366
Biochemical Oxygen,Achara,1/16/2014,mg/l,2.3,367
Biochemical Oxygen,Achara,2/15/2014,mg/l,4,368
Biochemical Oxygen,Achara,3/19/2014,mg/l,3.8,369
Biochemical Oxygen,Achara,4/18/2014,mg/l,1.3,370
Biochemical Oxygen,Achara,5/16/2014,mg/l,2.1,371
Biochemical Oxygen,Achara,6/20/2014,mg/l,3,372
Biochemical Oxygen,Achara,7/18/2014,mg/l,1.6,373
Biochemical Oxygen,Achara,8/16/2014,mg/l,2.5,374
Biochemical Oxygen,Achara,9/19/2014,mg/l,1.2,375
Biochemical Oxygen,Achara,10/17/2014,mg/l,0.5,376
Biochemical Oxygen,Achara,11/21/2014,mg/l,1,377
Biochemical Oxygen,Achara,12/12/2014,mg/l,2.3,378
Biochemical Oxygen,Achara,1/17/2015,mg/l,2.3,379
Biochemical Oxygen,Achara,2/21/2015,mg/l,3.1,380
Biochemical Oxygen,Achara,3/13/2015,mg/l,2.2,381
Biochemical Oxygen,Achara,4/18/2015,mg/l,1.4,382
Biochemical Oxygen,Achara,5/15/2015,mg/l,2.2,383
Biochemical Oxygen,Achara,6/20/2015,mg/l,2.5,384
Biochemical Oxygen,Achara,7/16/2015,mg/l,1.6,385
Biochemical Oxygen,Achara,8/22/2015,mg/l,1.5,386
Biochemical Oxygen,Achara,9/18/2015,mg/l,1.3,387
Biochemical Oxygen,Achara,10/16/2015,mg/l,1.3,388
Biochemical Oxygen,Achara,11/20/2015,mg/l,1.1,389
Biochemical Oxygen,Achara,12/9/2015,mg/l,2.4,390
Biochemical Oxygen,Achara,1/15/2016,mg/l,2.4,391
Biochemical Oxygen,Achara,2/12/2016,mg/l,2.2,392
Biochemical Oxygen,Achara,3/12/2016,mg/l,1.6,393
Biochemical Oxygen,Achara,4/16/2016,mg/l,2.8,394
Biochemical Oxygen,Achara,5/13/2016,mg/l,1.8,395
Biochemical Oxygen,Achara,6/11/2016,mg/l,2.6,396
Biochemical Oxygen,Achara,7/16/2016,mg/l,1.2,397
Biochemical Oxygen,Achara,8/20/2016,mg/l,0.5,398
Biochemical Oxygen,Achara,9/16/2016,mg/l,0.5,399
Biochemical Oxygen,Achara,10/22/2016,mg/l,0.5,400
Biochemical Oxygen,Achara,11/19/2016,mg/l,0.5,401
Biochemical Oxygen,Achara,12/10/2016,mg/l,1.2,402
Cadmium,Achara,1/15/2009,µg/l,0.3,403
Cadmium,Achara,2/13/2009,µg/l,0.3,404
Cadmium,Achara,3/19/2009,µg/l,0.3,405
Cadmium,Achara,4/17/2009,µg/l,0.3,406
Cadmium,Achara,6/12/2009,µg/l,0.3,407
Cadmium,Achara,7/11/2009,µg/l,0.3,408
Cadmium,Achara,10/11/2009,µg/l,0.3,409
Cadmium,Achara,11/19/2009,µg/l,0.3,410
Cadmium,Achara,1/16/2010,µg/l,0.4,411
Cadmium,Achara,2/20/2010,µg/l,0.25,412
Cadmium,Achara,3/19/2010,µg/l,0.25,413
Cadmium,Achara,4/16/2010,µg/l,0.25,414
Cadmium,Achara,5/20/2010,µg/l,0.25,415
Cadmium,Achara,6/17/2010,µg/l,0.25,416
Cadmium,Achara,7/16/2010,µg/l,0.25,417
Cadmium,Achara,8/12/2010,µg/l,0.25,418
Cadmium,Achara,9/17/2010,µg/l,0.25,419
Cadmium,Achara,10/22/2010,µg/l,0.25,420
Cadmium,Achara,11/19/2010,µg/l,0.25,421
Cadmium,Achara,12/11/2010,µg/l,0.25,422
Cadmium,Achara,1/21/2011,µg/l,0.5,423
Cadmium,Achara,2/11/2011,µg/l,0.5,424
Cadmium,Achara,2/18/2011,µg/l,0.5,425
Cadmium,Achara,3/18/2011,µg/l,0.5,426
Cadmium,Achara,3/31/2011,µg/l,0.5,427
Cadmium,Achara,4/16/2011,µg/l,0.5,428
Cadmium,Achara,5/13/2011,µg/l,0,429
Cadmium,Achara,5/27/2011,µg/l,0,430
Cadmium,Achara,6/11/2011,µg/l,0,431
Cadmium,Achara,6/17/2011,µg/l,0,432
Cadmium,Achara,7/14/2011,µg/l,0,433
Cadmium,Achara,8/11/2011,µg/l,0,434
Cadmium,Achara,9/14/2011,µg/l,0,435
Cadmium,Achara,9/28/2011,µg/l,0,436
Cadmium,Achara,10/8/2011,µg/l,0,437
Cadmium,Achara,10/13/2011,µg/l,0,438
Cadmium,Achara,11/11/2011,µg/l,0,439
Cadmium,Achara,12/10/2011,µg/l,0,440
Cadmium,Achara,1/20/2012,µg/l,0.25,441
Cadmium,Achara,2/17/2012,µg/l,0.25,442
Cadmium,Achara,3/17/2012,µg/l,0.25,443
Cadmium,Achara,4/21/2012,µg/l,0.25,444
Cadmium,Achara,5/19/2012,µg/l,0.25,445
Cadmium,Achara,6/16/2012,µg/l,0.25,446
Cadmium,Achara,7/21/2012,µg/l,0.25,447
Cadmium,Achara,8/16/2012,µg/l,0.25,448
Cadmium,Achara,9/21/2012,µg/l,0.25,449
Cadmium,Achara,10/21/2012,µg/l,0.25,450
Cadmium,Achara,11/16/2012,µg/l,0.25,451
Cadmium,Achara,12/10/2012,µg/l,0.25,452
Cadmium,Achara,1/17/2013,µg/l,0,453
Cadmium,Achara,2/15/2013,µg/l,0,454
Cadmium,Achara,3/14/2013,µg/l,0,455
Cadmium,Achara,4/12/2013,µg/l,0,456
Cadmium,Achara,5/16/2013,µg/l,0,457
Cadmium,Achara,6/14/2013,µg/l,0,458
Cadmium,Achara,7/18/2013,µg/l,0,459
Cadmium,Achara,8/16/2013,µg/l,0,460
Cadmium,Achara,9/21/2013,µg/l,0,461
Cadmium,Achara,10/18/2013,µg/l,0,462
Cadmium,Achara,11/15/2013,µg/l,0,463
Cadmium,Achara,12/13/2013,µg/l,0,464
Cadmium,Achara,2/21/2015,µg/l,0,465
Cadmium,Achara,6/20/2015,µg/l,0,466
Cadmium,Achara,8/22/2015,µg/l,0,467
Cadmium,Achara,10/16/2015,µg/l,0,468
Cadmium,Achara,1/15/2016,µg/l,0,469
Cadmium,Achara,6/11/2016,µg/l,0,470
Cadmium,Achara,8/20/2016,µg/l,0,471
Cadmium,Achara,10/22/2016,µg/l,0,472
Calcium,Achara,1/15/2009,mg/l,47.4,473
Calcium,Achara,2/13/2009,mg/l,25.9,474
Calcium,Achara,3/19/2009,mg/l,34.6,475
Calcium,Achara,4/17/2009,mg/l,38.2,476
Calcium,Achara,1/16/2010,mg/l,31.5,477
Calcium,Achara,2/20/2010,mg/l,31.1,478
Calcium,Achara,3/19/2010,mg/l,30.9,479
Calcium,Achara,4/16/2010,mg/l,39.2,480
Calcium,Achara,5/20/2010,mg/l,29.9,481
Calcium,Achara,6/17/2010,mg/l,27.3,482
Calcium,Achara,7/16/2010,mg/l,33.6,483
Calcium,Achara,8/12/2010,mg/l,40.4,484
