Country,Lat,Lon,Number of Records,Year,child_mortality,fertility,gdp,life,population,region
Afghanistan,34.023,65.5267,1,1998,142.6,7.854,947,54.009,21752257,South Asia
Afghanistan,34.023,65.5267,1,1999,139.9,7.809,972,54.449,22227543,South Asia
Afghanistan,34.023,65.5267,1,2000,137,7.733,962,54.863,22856302,South Asia
Afghanistan,34.023,65.5267,1,2001,133.8,7.623,862,55.271,23677385,South Asia
Afghanistan,34.023,65.5267,1,2002,130.3,7.484,1053,55.687,24639841,South Asia
Afghanistan,34.023,65.5267,1,2003,126.8,7.321,1097,56.122,25678639,South Asia
Afghanistan,34.023,65.5267,1,2004,123.2,7.136,1067,56.583,26693486,South Asia
Afghanistan,34.023,65.5267,1,2005,119.6,6.93,1146,57.071,27614718,South Asia
Afghanistan,34.023,65.5267,1,2006,116.3,6.702,1173,57.582,28420974,South Asia
Afghanistan,34.023,65.5267,1,2007,113.2,6.456,1298,58.102,29145841,South Asia
Afghanistan,34.023,65.5267,1,2008,110.4,6.196,1311,58.618,29839994,South Asia
Afghanistan,34.023,65.5267,1,2009,107.6,5.928,1548,59.124,30577756,South Asia
Afghanistan,34.023,65.5267,1,2010,105,5.659,1637,59.612,31411743,South Asia
Afghanistan,34.023,65.5267,1,2011,102.3,5.395,1695,60.079,32358260,South Asia
Afghanistan,34.023,65.5267,1,2012,99.5,5.141,1893,60.524,33397058,South Asia
Afghanistan,34.023,65.5267,1,2013,96.7,4.9,1884,60.947,34499915,South Asia
Albania,40.654,20.076,1,1964,122.67,5.711,3023,65.475,1817098,Europe & Central Asia
Albania,40.654,20.076,1,1965,120.09,5.594,3129,65.863,1869942,Europe & Central Asia
Albania,40.654,20.076,1,1966,117.56,5.483,3242,66.122,1922993,Europe & Central Asia
Albania,40.654,20.076,1,1967,115.09,5.376,3359,66.316,1976140,Europe & Central Asia
Albania,40.654,20.076,1,1968,112.67,5.268,3475,66.5,2029314,Europe & Central Asia
Albania,40.654,20.076,1,1969,110.3,5.16,3587,66.702,2082474,Europe & Central Asia
Albania,40.654,20.076,1,1970,107.98,5.05,3712,66.948,2135599,Europe & Central Asia
Albania,40.654,20.076,1,1971,105.71,4.933,3849,67.251,2188650,Europe & Central Asia
Albania,40.654,20.076,1,1972,103.49,4.809,3988,67.595,2241623,Europe & Central Asia
Albania,40.654,20.076,1,1973,101.31,4.677,4174,67.966,2294578,Europe & Central Asia
Albania,40.654,20.076,1,1974,99.18,4.538,4177,68.356,2347607,Europe & Central Asia
Albania,40.654,20.076,1,1975,97.1,4.393,4178,68.748,2400801,Europe & Central Asia
Albania,40.654,20.076,1,1976,95.06,4.244,4182,69.121,2454255,Europe & Central Asia
Albania,40.654,20.076,1,1977,93.06,4.094,4188,69.459,2508026,Europe & Central Asia
Albania,40.654,20.076,1,1978,91.1,3.947,4194,69.753,2562121,Europe & Central Asia
Albania,40.654,20.076,1,1979,84.7,3.807,4201,70.001,2616530,Europe & Central Asia
Albania,40.654,20.076,1,1980,78.6,3.678,4218,70.218,2671300,Europe & Central Asia
Albania,40.654,20.076,1,1981,73,3.562,4227,70.426,2725029,Europe & Central Asia
Albania,40.654,20.076,1,1982,67.8,3.46,4237,70.646,2777592,Europe & Central Asia
Albania,40.654,20.076,1,1983,62.8,3.372,4248,70.886,2831682,Europe & Central Asia
Albania,40.654,20.076,1,1984,58.3,3.297,4259,71.144,2891004,Europe & Central Asia
Albania,40.654,20.076,1,1985,54.3,3.233,4267,71.398,2957390,Europe & Central Asia
Albania,40.654,20.076,1,1986,50.7,3.177,4281,71.615,3033393,Europe & Central Asia
Albania,40.654,20.076,1,1987,47.6,3.126,4294,71.77,3116009,Europe & Central Asia
Albania,40.654,20.076,1,1988,44.9,3.075,4307,71.853,3194854,Europe & Central Asia
Albania,40.654,20.076,1,1989,42.5,3.023,4325,71.87,3255859,Europe & Central Asia
Albania,40.654,20.076,1,1990,40.6,2.97,4350,71.842,3289483,Europe & Central Asia
Albania,40.654,20.076,1,1991,38.8,2.917,3081,71.799,3291695,Europe & Central Asia
Albania,40.654,20.076,1,1992,37.3,2.867,2877,71.779,3266983,Europe & Central Asia
Albania,40.654,20.076,1,1993,36,2.819,3172,71.813,3224901,Europe & Central Asia
Albania,40.654,20.076,1,1994,34.6,2.772,3457,71.92,3179442,Europe & Central Asia
Albania,40.654,20.076,1,1995,33.2,2.723,3941,72.117,3141102,Europe & Central Asia
Albania,40.654,20.076,1,1996,31.8,2.67,4326,72.415,3112597,Europe & Central Asia
Albania,40.654,20.076,1,1997,30.3,2.611,3909,72.796,3091902,Europe & Central Asia
Albania,40.654,20.076,1,1998,28.9,2.543,4434,73.235,3079037,Europe & Central Asia
Albania,40.654,20.076,1,1999,27.5,2.467,4912,73.713,3072725,Europe & Central Asia
Albania,40.654,20.076,1,2000,26.2,2.383,5305,74.2,3071856,Europe & Central Asia
Albania,40.654,20.076,1,2001,24.9,2.291,5730,74.664,3077378,Europe & Central Asia
Albania,40.654,20.076,1,2002,23.6,2.195,5913,75.081,3089778,Europe & Central Asia
Albania,40.654,20.076,1,2003,22.5,2.097,6274,75.437,3106701,Europe & Central Asia
Albania,40.654,20.076,1,2004,21.5,2.004,6672,75.725,3124861,Europe & Central Asia
Albania,40.654,20.076,1,2005,20.5,1.919,7075,75.949,3141800,Europe & Central Asia
Albania,40.654,20.076,1,2006,19.5,1.849,7476,76.124,3156607,Europe & Central Asia
Albania,40.654,20.076,1,2007,18.7,1.796,7977,76.278,3169665,Europe & Central Asia
Albania,40.654,20.076,1,2008,17.9,1.761,8644,76.433,3181397,Europe & Central Asia
Albania,40.654,20.076,1,2009,17.3,1.744,8994,76.598,3192723,Europe & Central Asia
Albania,40.654,20.076,1,2010,16.6,1.741,9374,76.78,3204284,Europe & Central Asia
Albania,40.654,20.076,1,2011,16,1.748,9640,76.979,3215988,Europe & Central Asia
Albania,40.654,20.076,1,2012,15.5,1.76,9811,77.185,3227373,Europe & Central Asia
Albania,40.654,20.076,1,2013,14.9,1.771,9961,77.392,3238316,Europe & Central Asia
Algeria,28.6045,2.64,1,1964,247.3,7.653,5693,47.953,11654905,Middle East & North Africa
Algeria,28.6045,2.64,1,1965,248.2,7.655,5916,48.389,11923002,Middle East & North Africa
Algeria,28.6045,2.64,1,1966,248.9,7.657,5478,48.806,12229853,Middle East & North Africa
Algeria,28.6045,2.64,1,1967,248.9,7.658,5811,49.205,12572629,Middle East & North Africa
Algeria,28.6045,2.64,1,1968,248,7.657,6319,49.592,12945462,Middle East & North Africa
Algeria,28.6045,2.64,1,1969,245.8,7.652,6747,49.976,13338918,Middle East & North Africa
Algeria,28.6045,2.64,1,1970,242.2,7.641,7227,50.366,13746185,Middle East & North Africa
Algeria,28.6045,2.64,1,1971,237.3,7.622,6427,50.767,14165889,Middle East & North Africa
Algeria,28.6045,2.64,1,1972,230.9,7.591,7556,51.195,14600659,Middle East & North Africa
Algeria,28.6045,2.64,1,1973,223.4,7.548,7581,51.67,15052371,Middle East & North Africa
Algeria,28.6045,2.64,1,1974,214.9,7.492,7812,52.213,15524137,Middle East & North Africa
Algeria,28.6045,2.64,1,1975,205.5,7.422,8119,52.861,16018195,Middle East & North Africa
Algeria,28.6045,2.64,1,1976,195.7,7.339,8400,53.656,16533323,Middle East & North Africa
Algeria,28.6045,2.64,1,1977,185.1,7.244,8888,54.605,17068212,Middle East & North Africa
Algeria,28.6045,2.64,1,1978,173.9,7.138,9730,55.697,17624756,Middle East & North Africa
Algeria,28.6045,2.64,1,1979,161.7,7.021,10293,56.907,18205468,Middle East & North Africa
Algeria,28.6045,2.64,1,1980,148,6.889,10166,58.198,18811199,Middle East & North Africa
Algeria,28.6045,2.64,1,1981,132.6,6.741,10160,59.524,19442423,Middle East & North Africa
Algeria,28.6045,2.64,1,1982,115.9,6.576,10477,60.826,20095648,Middle East & North Africa
Algeria,28.6045,2.64,1,1983,98.9,6.392,10696,62.051,20762767,Middle East & North Africa
Algeria,28.6045,2.64,1,1984,83.6,6.192,10947,63.16,21433070,Middle East & North Africa
Algeria,28.6045,2.64,1,1985,71.2,5.976,11030,64.12,22098298,Middle East & North Africa
Algeria,28.6045,2.64,1,1986,61.9,5.747,10722,64.911,22753511,Middle East & North Africa
Algeria,28.6045,2.64,1,1987,55.3,5.508,10378,65.554,23398470,Middle East & North Africa
Algeria,28.6045,2.64,1,1988,51.2,5.263,9888,66.072,24035237,Middle East & North Africa
Algeria,28.6045,2.64,1,1989,48.6,5.014,10115,66.479,24668100,Middle East & North Africa
Algeria,28.6045,2.64,1,1990,46.9,4.761,10113,66.796,25299182,Middle East & North Africa
Algeria,28.6045,2.64,1,1991,45.8,4.503,9748,67.049,25930560,Middle East & North Africa
Algeria,28.6045,2.64,1,1992,45,4.238,9693,67.265,26557969,Middle East & North Africa
Algeria,28.6045,2.64,1,1993,44.2,3.971,9279,67.468,27169903,Middle East & North Africa
Algeria,28.6045,2.64,1,1994,43.5,3.705,9006,67.674,27751086,Middle East & North Africa
Algeria,28.6045,2.64,1,1995,42.6,3.449,9168,67.893,28291591,Middle East & North Africa
Algeria,28.6045,2.64,1,1996,41.8,3.207,9375,68.123,28786855,Middle East & North Africa
Algeria,28.6045,2.64,1,1997,41.2,2.987,9322,68.35,29242917,Middle East & North Africa
Algeria,28.6045,2.64,1,1998,40.7,2.794,9646,68.565,29673694,Middle East & North Africa
Algeria,28.6045,2.64,1,1999,40.2,2.634,9810,68.769,30099010,Middle East & North Africa
Algeria,28.6045,2.64,1,2000,39.7,2.514,9885,68.963,30533827,Middle East & North Africa
Algeria,28.6045,2.64,1,2001,38.9,2.439,10203,69.149,30982214,Middle East & North Africa
Algeria,28.6045,2.64,1,2002,37.8,2.407,10634,69.33,31441848,Middle East & North Africa
Algeria,28.6045,2.64,1,2003,36.5,2.412,11251,69.508,31913462,Middle East & North Africa
Algeria,28.6045,2.64,1,2004,35.1,2.448,11575,69.682,32396048,Middle East & North Africa
Algeria,28.6045,2.64,1,2005,33.6,2.507,12077,69.854,32888449,Middle East & North Africa
Algeria,28.6045,2.64,1,2006,32.1,2.58,12088,70.02,33391954,Middle East & North Africa
Algeria,28.6045,2.64,1,2007,30.7,2.656,12289,70.18,33906605,Middle East & North Africa
Algeria,28.6045,2.64,1,2008,29.5,2.725,12314,70.332,34428028,Middle East & North Africa
Algeria,28.6045,2.64,1,2009,28.4,2.781,12285,70.477,34950168,Middle East & North Africa
Algeria,28.6045,2.64,1,2010,27.4,2.817,12494,70.615,35468208,Middle East & North Africa
Algeria,28.6045,2.64,1,2011,26.6,2.829,12606,70.747,35980193,Middle East & North Africa
Algeria,28.6045,2.64,1,2012,25.8,2.82,12779,70.874,36485828,Middle East & North Africa
Algeria,28.6045,2.64,1,2013,25.2,2.795,12893,71,36983924,Middle East & North Africa
Angola,-12.836,17.808,1,1964,305.2,7.425,4573,34.604,5337063,Sub-Saharan Africa
Angola,-12.836,17.808,1,1965,297.55,7.43,4840,35.007,5431135,Sub-Saharan Africa
Angola,-12.836,17.808,1,1966,289.99,7.422,5043,35.41,5524090,Sub-Saharan Africa
Angola,-12.836,17.808,1,1967,282.4,7.403,5253,35.816,5617242,Sub-Saharan Africa
Angola,-12.836,17.808,1,1968,275.28,7.375,5093,36.222,5713156,Sub-Saharan Africa
Angola,-12.836,17.808,1,1969,268.59,7.339,5158,36.627,5815282,Sub-Saharan Africa
Angola,-12.836,17.808,1,1970,262.29,7.301,5397,37.032,5926333,Sub-Saharan Africa
Angola,-12.836,17.808,1,1971,259.32,7.264,5614,37.439,6047736,Sub-Saharan Africa
Angola,-12.836,17.808,1,1972,256.39,7.232,5511,37.846,6179685,Sub-Saharan Africa
Angola,-12.836,17.808,1,1973,253.49,7.208,5831,38.247,6322194,Sub-Saharan Africa
Angola,-12.836,17.808,1,1974,250.63,7.192,5880,38.635,6474796,Sub-Saharan Africa
Angola,-12.836,17.808,1,1975,247.79,7.185,5454,38.998,6637419,Sub-Saharan Africa
Angola,-12.836,17.808,1,1976,244.99,7.186,5044,39.324,6808850,Sub-Saharan Africa
Angola,-12.836,17.808,1,1977,242.22,7.189,4956,39.605,6989988,Sub-Saharan Africa
Angola,-12.836,17.808,1,1978,239.48,7.194,4572,39.84,7185188,Sub-Saharan Africa
Angola,-12.836,17.808,1,1979,236.78,7.197,4458,40.029,7400231,Sub-Saharan Africa
Angola,-12.836,17.808,1,1980,234.1,7.2,4443,40.182,7638420,Sub-Saharan Africa
Angola,-12.836,17.808,1,1981,232.8,7.201,4110,40.311,7903368,Sub-Saharan Africa
Angola,-12.836,17.808,1,1982,231.5,7.203,3970,40.429,8191774,Sub-Saharan Africa
Angola,-12.836,17.808,1,1983,230.2,7.205,3996,40.547,8491682,Sub-Saharan Africa
Angola,-12.836,17.808,1,1984,229.1,7.207,4099,40.671,8786652,Sub-Saharan Africa
Angola,-12.836,17.808,1,1985,228.3,7.208,4117,40.794,9065562,Sub-Saharan Africa
Angola,-12.836,17.808,1,1986,227.5,7.206,4135,40.902,9322550,Sub-Saharan Africa
Angola,-12.836,17.808,1,1987,226.9,7.202,4319,40.988,9562796,Sub-Saharan Africa
Angola,-12.836,17.808,1,1988,226.5,7.194,4455,41.05,9799680,Sub-Saharan Africa
Angola,-12.836,17.808,1,1989,226.2,7.182,4365,41.1,10052567,Sub-Saharan Africa
Angola,-12.836,17.808,1,1990,226,7.165,4232,41.151,10335052,Sub-Saharan Africa
Angola,-12.836,17.808,1,1991,225.9,7.143,4056,41.221,10653515,Sub-Saharan Africa
Angola,-12.836,17.808,1,1992,226,7.116,3656,41.329,11002910,Sub-Saharan Africa
Angola,-12.836,17.808,1,1993,225.8,7.087,2663,41.495,11371750,Sub-Saharan Africa
Angola,-12.836,17.808,1,1994,225.5,7.054,2669,41.736,11742960,Sub-Saharan Africa
Angola,-12.836,17.808,1,1995,224.8,7.019,2859,42.073,12105105,Sub-Saharan Africa
Angola,-12.836,17.808,1,1996,224,6.984,3091,42.526,12452725,Sub-Saharan Africa
Angola,-12.836,17.808,1,1997,222.6,6.949,3246,43.088,12792237,Sub-Saharan Africa
Angola,-12.836,17.808,1,1998,220.8,6.913,3376,43.742,13138265,Sub-Saharan Africa
Angola,-12.836,17.808,1,1999,218.9,6.878,3389,44.468,13511575,Sub-Saharan Africa
Angola,-12.836,17.808,1,2000,216.7,6.844,3387,45.234,13926373,Sub-Saharan Africa
Angola,-12.836,17.808,1,2001,214.1,6.811,3417,46.004,14388244,Sub-Saharan Africa
Angola,-12.836,17.808,1,2002,211.7,6.778,3759,46.743,14890474,Sub-Saharan Africa
Angola,-12.836,17.808,1,2003,209.2,6.743,3819,47.425,15419943,Sub-Saharan Africa
Angola,-12.836,17.808,1,2004,206.7,6.704,4087,48.036,15957460,Sub-Saharan Africa
Angola,-12.836,17.808,1,2005,203.9,6.657,4667,48.572,16489021,Sub-Saharan Africa
Angola,-12.836,17.808,1,2006,200.5,6.598,5445,49.041,17010366,Sub-Saharan Africa
Angola,-12.836,17.808,1,2007,196.4,6.523,6453,49.471,17525367,Sub-Saharan Africa
Angola,-12.836,17.808,1,2008,192,6.434,7103,49.882,18037964,Sub-Saharan Africa
Angola,-12.836,17.808,1,2009,187.3,6.331,7039,50.286,18555115,Sub-Saharan Africa
Angola,-12.836,17.808,1,2010,182.5,6.218,7047,50.689,19081912,Sub-Saharan Africa
Angola,-12.836,17.808,1,2011,177.3,6.099,7094,51.094,19618432,Sub-Saharan Africa
Angola,-12.836,17.808,1,2012,172.2,5.979,7230,51.498,20162517,Sub-Saharan Africa
Angola,-12.836,17.808,1,2013,167.1,5.863,7488,51.899,20714494,Sub-Saharan Africa
Antigua and Barbuda,17.625,-61.786,1,1964,72.78,4.25,5008,63.775,58653,America
Antigua and Barbuda,17.625,-61.786,1,1965,69.91,4.193,5133,64.149,59844,America
Antigua and Barbuda,17.625,-61.786,1,1966,66.69,4.125,5262,64.511,61032,America
Antigua and Barbuda,17.625,-61.786,1,1967,63.53,4.042,5393,64.865,62226,America
Antigua and Barbuda,17.625,-61.786,1,1968,60.97,3.942,5528,65.213,63401,America
Antigua and Barbuda,17.625,-61.786,1,1969,58.16,3.824,5666,65.558,64528,America
Antigua and Barbuda,17.625,-61.786,1,1970,55.87,3.684,5807,65.898,65587,America
Antigua and Barbuda,17.625,-61.786,1,1971,53.73,3.517,6088,66.232,66554,America
Antigua and Barbuda,17.625,-61.786,1,1972,51.35,3.328,6378,66.558,67419,America
Antigua and Barbuda,17.625,-61.786,1,1973,49.44,3.122,6770,66.875,68182,America
Antigua and Barbuda,17.625,-61.786,1,1974,47.58,2.908,6888,67.181,68848,America
Antigua and Barbuda,17.625,-61.786,1,1975,45.77,2.701,6458,67.479,69420,America
Antigua and Barbuda,17.625,-61.786,1,1976,43.98,2.514,5885,67.768,69910,America
Antigua and Barbuda,17.625,-61.786,1,1977,42.22,2.358,6371,68.051,70301,America
Antigua and Barbuda,17.625,-61.786,1,1978,40.83,2.239,6691,68.328,70533,America
Antigua and Barbuda,17.625,-61.786,1,1979,39.16,2.159,7536,68.602,70525,America
Antigua and Barbuda,17.625,-61.786,1,1980,37.53,2.115,8169,68.873,70228,America
Antigua and Barbuda,17.625,-61.786,1,1981,36.01,2.098,8689,69.141,69639,America
Antigua and Barbuda,17.625,-61.786,1,1982,34.55,2.096,8827,69.408,68803,America
Antigua and Barbuda,17.625,-61.786,1,1983,33.16,2.098,9540,69.671,67792,America
Antigua and Barbuda,17.625,-61.786,1,1984,31.83,2.098,10388,69.931,66701,America
Antigua and Barbuda,17.625,-61.786,1,1985,30.54,2.092,11383,70.186,65614,America
Antigua and Barbuda,17.625,-61.786,1,1986,29.32,2.082,12600,70.435,64539,America
Antigua and Barbuda,17.625,-61.786,1,1987,28.14,2.07,14027,70.675,63510,America
Antigua and Barbuda,17.625,-61.786,1,1988,27.01,2.062,15441,70.907,62669,America
Antigua and Barbuda,17.625,-61.786,1,1989,25.93,2.058,16611,71.132,62192,America
Antigua and Barbuda,17.625,-61.786,1,1990,25.5,2.061,17154,71.351,62202,America
Antigua and Barbuda,17.625,-61.786,1,1991,24.2,2.073,17361,71.568,62754,America
Antigua and Barbuda,17.625,-61.786,1,1992,23.1,2.096,17226,71.783,63802,America
Antigua and Barbuda,17.625,-61.786,1,1993,21.9,2.128,17753,72,65238,America
Antigua and Barbuda,17.625,-61.786,1,1994,20.8,2.166,18400,72.219,66895,America
Antigua and Barbuda,17.625,-61.786,1,1995,19.7,2.208,17167,72.441,68642,America
Antigua and Barbuda,17.625,-61.786,1,1996,18.8,2.248,17830,72.664,70450,America
Antigua and Barbuda,17.625,-61.786,1,1997,17.9,2.281,18186,72.888,72322,America
Antigua and Barbuda,17.625,-61.786,1,1998,17,2.304,18483,73.11,74190,America
Antigua and Barbuda,17.625,-61.786,1,1999,16.2,2.316,18780,73.329,75985,America
Antigua and Barbuda,17.625,-61.786,1,2000,15.5,2.316,19319,73.544,77656,America
Antigua and Barbuda,17.625,-61.786,1,2001,14.8,2.305,18388,73.755,79165,America
Antigua and Barbuda,17.625,-61.786,1,2002,14.1,2.288,18676,73.96,80507,America
Antigua and Barbuda,17.625,-61.786,1,2003,13.5,2.268,19566,74.16,81716,America
Antigua and Barbuda,17.625,-61.786,1,2004,12.9,2.246,20395,74.355,82838,America
Antigua and Barbuda,17.625,-61.786,1,2005,12.4,2.224,21414,74.544,83916,America
Antigua and Barbuda,17.625,-61.786,1,2006,11.8,2.203,24016,74.729,84952,America
Antigua and Barbuda,17.625,-61.786,1,2007,11.3,2.183,26008,74.91,85935,America
Antigua and Barbuda,17.625,-61.786,1,2008,10.9,2.164,25736,75.087,86881,America
Antigua and Barbuda,17.625,-61.786,1,2009,10.4,2.146,22389,75.263,87802,America
Antigua and Barbuda,17.625,-61.786,1,2010,9.9,2.13,20567,75.437,88710,America
Antigua and Barbuda,17.625,-61.786,1,2011,9.5,2.115,19988,75.61,89612,America
Antigua and Barbuda,17.625,-61.786,1,2012,9.1,2.102,20577,75.783,90510,America
Antigua and Barbuda,17.625,-61.786,1,2013,8.7,2.089,20353,75.954,91404,America
Argentina,-33.166,-64.31,1,1964,57.43,3.068,8227,65.388,21966478,America
Argentina,-33.166,-64.31,1,1965,57.43,3.058,8818,65.481,22296628,America
Argentina,-33.166,-64.31,1,1966,58.63,3.051,8709,65.603,22622012,America
Argentina,-33.166,-64.31,1,1967,58.52,3.048,8782,65.759,22944941,America
Argentina,-33.166,-64.31,1,1968,58.32,3.049,9003,65.953,23273148,America
Argentina,-33.166,-64.31,1,1969,73.2,3.056,9610,66.184,23616971,America
Argentina,-33.166,-64.31,1,1970,72.4,3.073,9951,66.449,23983358,America
Argentina,-33.166,-64.31,1,1971,71.5,3.104,10167,66.74,24376109,America
Argentina,-33.166,-64.31,1,1972,70.4,3.148,10209,67.044,24791983,America
Argentina,-33.166,-64.31,1,1973,68.8,3.203,10419,67.349,25222223,America
Argentina,-33.166,-64.31,1,1974,66.6,3.264,10809,67.652,25654154,America
Argentina,-33.166,-64.31,1,1975,63.8,3.321,10571,67.95,26078731,America
Argentina,-33.166,-64.31,1,1976,60.2,3.366,10408,68.248,26492716,America
Argentina,-33.166,-64.31,1,1977,55.9,3.391,10918,68.549,26899177,America
Argentina,-33.166,-64.31,1,1978,51.4,3.391,10406,68.856,27303001,America
Argentina,-33.166,-64.31,1,1979,47,3.368,10976,69.164,27711808,America
Argentina,-33.166,-64.31,1,1980,43.1,3.325,10982,69.464,28131040,America
Argentina,-33.166,-64.31,1,1981,40,3.27,10221,69.746,28561561,America
Argentina,-33.166,-64.31,1,1982,37.6,3.213,9765,70.004,29001060,America
Argentina,-33.166,-64.31,1,1983,35.8,3.163,10030,70.235,29447973,America
Argentina,-33.166,-64.31,1,1984,34.4,3.123,10102,70.439,29899743,America
Argentina,-33.166,-64.31,1,1985,33.1,3.093,9262,70.624,30354240,America
Argentina,-33.166,-64.31,1,1986,31.9,3.073,9810,70.798,30810984,America
Argentina,-33.166,-64.31,1,1987,30.8,3.056,9936,70.972,31269799,America
Argentina,-33.166,-64.31,1,1988,29.7,3.037,9620,71.156,31729130,America
Argentina,-33.166,-64.31,1,1989,28.6,3.016,8820,71.353,32187173,America
Argentina,-33.166,-64.31,1,1990,27.6,2.989,8539,71.566,32642442,America
Argentina,-33.166,-64.31,1,1991,26.6,2.956,9333,71.791,33093579,America
Argentina,-33.166,-64.31,1,1992,25.7,2.918,10130,72.024,33540023,America
Argentina,-33.166,-64.31,1,1993,24.8,2.875,10602,72.257,33982035,America
Argentina,-33.166,-64.31,1,1994,24.1,2.827,11108,72.489,34420352,America
Argentina,-33.166,-64.31,1,1995,23.4,2.774,10673,72.719,34855160,America
Argentina,-33.166,-64.31,1,1996,22.7,2.717,11150,72.945,35287113,America
Argentina,-33.166,-64.31,1,1997,22,2.657,11935,73.169,35714929,America
Argentina,-33.166,-64.31,1,1998,21.4,2.596,12268,73.39,36134642,America
Argentina,-33.166,-64.31,1,1999,20.8,2.535,11722,73.608,36541029,America
Argentina,-33.166,-64.31,1,2000,20.2,2.477,11504,73.822,36930709,America
Argentina,-33.166,-64.31,1,2001,19.7,2.424,10875,74.033,37302116,America
Argentina,-33.166,-64.31,1,2002,19.2,2.379,9574,74.24,37657340,America
Argentina,-33.166,-64.31,1,2003,18.6,2.34,10318,74.444,38001251,America
Argentina,-33.166,-64.31,1,2004,17.9,2.31,11135,74.645,38340778,America
Argentina,-33.166,-64.31,1,2005,17.1,2.286,12039,74.843,38681174,America
Argentina,-33.166,-64.31,1,2006,16.4,2.268,12913,75.036,39023850,America
Argentina,-33.166,-64.31,1,2007,15.8,2.254,13873,75.225,39368066,America
Argentina,-33.166,-64.31,1,2008,15.4,2.241,14646,75.41,39714298,America
Argentina,-33.166,-64.31,1,2009,15,2.228,14605,75.592,40062470,America
Argentina,-33.166,-64.31,1,2010,14.6,2.215,15765,75.772,40412376,America
Argentina,-33.166,-64.31,1,2011,14.2,2.201,16972,75.95,40764561,America
Argentina,-33.166,-64.31,1,2012,13.8,2.188,17101,76.128,41118986,America
Argentina,-33.166,-64.31,1,2013,13.3,2.175,17629,76.305,41473982,America
Armenia,40.56,44.449,1,1964,66.85,4.161,2823,67.714,2138133,Europe & Central Asia
Armenia,40.56,44.449,1,1965,63.58,3.979,2945,68.151,2204650,Europe & Central Asia
Armenia,40.56,44.449,1,1966,60.86,3.788,3051,68.587,2269475,Europe & Central Asia
Armenia,40.56,44.449,1,1967,63.13,3.606,3151,69.015,2332624,Europe & Central Asia
Armenia,40.56,44.449,1,1968,65.49,3.447,3300,69.425,2394635,Europe & Central Asia
